epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.8955,3.17512,4.68172,4.41949,0.00067,0.33333,0.00101,0.00023,3.36608,4.74883,4.1588,0,0,0
2,12.9892,3.65741,4.73805,4.33065,0.00066,0.33333,0.00125,0.00027,3.36606,4.74861,4.15871,7.61387e-06,7.61387e-06,7.61387e-06
3,18.5603,3.36441,4.59723,4.27666,0.00071,0.33333,0.00129,0.00028,3.36603,4.74838,4.15862,1.50755e-05,1.50755e-05,1.50755e-05
4,23.5884,3.46085,4.76924,4.33863,0.00066,0.33333,0.00123,0.00029,3.366,4.74819,4.15854,2.23848e-05,2.23848e-05,2.23848e-05
5,28.7659,3.38358,4.74965,4.37766,0.00067,0.33333,0.00141,0.0003,3.36595,4.74802,4.15843,2.95419e-05,2.95419e-05,2.95419e-05
6,33.7311,3.46975,4.70804,4.36523,0.00069,0.33333,0.00157,0.00031,3.36589,4.74786,4.15833,3.65467e-05,3.65467e-05,3.65467e-05
7,38.6016,3.41672,4.70065,4.41169,0.00068,0.33333,0.00139,0.00029,3.36582,4.74797,4.15822,4.33993e-05,4.33993e-05,4.33993e-05
8,43.6559,3.4186,4.6855,4.29111,0.00067,0.33333,0.00159,0.00031,3.36332,4.74814,4.15811,5.00996e-05,5.00996e-05,5.00996e-05
9,49.1297,3.57016,4.83132,4.39184,0.00071,0.33333,0.00164,0.00032,3.36323,4.74829,4.158,5.66476e-05,5.66476e-05,5.66476e-05
10,54.1266,3.44356,4.73199,4.31589,0.00069,0.33333,0.00168,0.00031,3.36312,4.7483,4.15788,6.30434e-05,6.30434e-05,6.30434e-05
11,59.0808,3.57739,4.65468,4.38308,0.00069,0.33333,0.00153,0.0003,3.36298,4.7484,4.15775,6.92869e-05,6.92869e-05,6.92869e-05
12,64.1743,3.45809,4.61948,4.35121,0.00069,0.33333,0.00142,0.00026,3.36282,4.74851,4.15762,7.53781e-05,7.53781e-05,7.53781e-05
13,69.1359,3.57936,4.66095,4.34761,0.00068,0.33333,0.00173,0.00032,3.36266,4.74875,4.15748,8.13171e-05,8.13171e-05,8.13171e-05
14,74.1872,3.44062,4.62528,4.35144,0.00071,0.33333,0.00156,0.00029,3.36248,4.74914,4.15734,8.71039e-05,8.71039e-05,8.71039e-05
15,79.2475,3.7673,4.71745,4.35905,0.00071,0.33333,0.00151,0.0003,3.36099,4.74909,4.15719,9.27383e-05,9.27383e-05,9.27383e-05
16,84.4062,3.31466,4.62044,4.27473,0.0007,0.33333,0.00149,0.00028,3.36076,4.74942,4.15704,9.82205e-05,9.82205e-05,9.82205e-05
17,89.3188,3.5055,4.47289,4.347,0.00071,0.33333,0.00174,0.00033,3.3605,4.75005,4.15687,0.00010355,0.00010355,0.00010355
18,94.2839,3.37711,4.67538,4.25157,0.00071,0.33333,0.00174,0.00033,3.3605,4.75005,4.15687,0.000108728,0.000108728,0.000108728
19,99.3049,3.57678,4.53686,4.31673,0.00075,0.33333,0.00171,0.00033,3.36007,4.75127,4.15661,0.000113754,0.000113754,0.000113754
20,104.305,3.43023,4.47518,4.26146,0.00075,0.33333,0.00171,0.00033,3.36007,4.75127,4.15661,0.000118627,0.000118627,0.000118627
21,109.206,3.26807,4.52286,4.31019,0.00071,0.33333,0.00215,0.00035,3.3592,4.75671,4.15632,0.000123348,0.000123348,0.000123348
22,114.066,3.85433,4.55718,4.38743,0.00071,0.33333,0.00215,0.00035,3.3592,4.75671,4.15632,0.000127916,0.000127916,0.000127916
23,119.407,3.36604,4.50839,4.30645,0.00075,0.33333,0.00253,0.0004,3.35859,4.75824,4.15601,0.000132333,0.000132333,0.000132333
24,124.355,3.30777,4.45856,4.32953,0.00075,0.33333,0.00253,0.0004,3.35859,4.75824,4.15601,0.000136597,0.000136597,0.000136597
25,129.336,3.6622,4.51063,4.31803,0.00074,0.33333,0.00214,0.00035,3.35785,4.75989,4.15568,0.000140709,0.000140709,0.000140709
26,134.369,3.39317,4.62088,4.24597,0.00074,0.33333,0.00214,0.00035,3.35785,4.75989,4.15568,0.000144668,0.000144668,0.000144668
27,139.225,3.33582,4.48551,4.28018,0.00072,0.33333,0.00206,0.00037,3.35694,4.76222,4.15531,0.000148475,0.000148475,0.000148475
28,144.297,3.46349,4.61239,4.23956,0.00072,0.33333,0.00206,0.00037,3.35694,4.76222,4.15531,0.000152131,0.000152131,0.000152131
29,149.29,3.54379,4.6337,4.21677,0.00077,0.33333,0.00209,0.00029,3.35631,4.76007,4.15495,0.000155633,0.000155633,0.000155633
30,154.308,3.69764,4.4091,4.26749,0.00077,0.33333,0.00209,0.00029,3.35631,4.76007,4.15495,0.000158984,0.000158984,0.000158984
31,159.136,3.41404,4.59801,4.21453,0.00077,0.33333,0.002,0.00031,3.35378,4.7622,4.1545,0.000162182,0.000162182,0.000162182
32,164.213,3.53195,4.42219,4.22641,0.00077,0.33333,0.002,0.00031,3.35378,4.7622,4.1545,0.000165228,0.000165228,0.000165228
33,169.085,3.43729,4.39227,4.25857,0.00069,0.33333,0.00214,0.00034,3.35249,4.76452,4.15406,0.000168122,0.000168122,0.000168122
34,174.092,3.35752,4.42933,4.21408,0.00069,0.33333,0.00214,0.00034,3.35249,4.76452,4.15406,0.000170863,0.000170863,0.000170863
35,179.056,3.37014,4.54005,4.2076,0.00068,0.33333,0.00216,0.00033,3.35116,4.76766,4.15368,0.000173453,0.000173453,0.000173453
36,184.66,3.56715,4.47442,4.20559,0.00068,0.33333,0.00216,0.00033,3.35116,4.76766,4.15368,0.00017589,0.00017589,0.00017589
37,189.549,3.51634,4.3911,4.25858,0.0007,0.33333,0.00191,0.00032,3.34953,4.77038,4.15328,0.000178174,0.000178174,0.000178174
38,194.598,3.16632,4.46845,4.2072,0.0007,0.33333,0.00191,0.00032,3.34953,4.77038,4.15328,0.000180307,0.000180307,0.000180307
39,199.655,3.45896,4.40176,4.20597,0.00053,0.22222,0.00136,0.00018,3.34621,4.77498,4.15276,0.000182287,0.000182287,0.000182287
40,204.944,3.4574,4.30115,4.16419,0.00053,0.22222,0.00136,0.00018,3.34621,4.77498,4.15276,0.000184115,0.000184115,0.000184115
41,209.936,3.39165,4.36032,4.1567,0.00055,0.22222,0.00111,0.00015,3.34356,4.77756,4.15217,0.00018579,0.00018579,0.00018579
42,215.026,3.42599,4.39539,4.1744,0.00055,0.22222,0.00111,0.00015,3.34356,4.77756,4.15217,0.000187314,0.000187314,0.000187314
43,220.044,3.57276,4.25791,4.18219,0.00227,0.23724,0.00148,0.00028,3.34086,4.78024,4.15149,0.000188685,0.000188685,0.000188685
44,225.129,3.3888,4.21546,4.17274,0.00227,0.23724,0.00148,0.00028,3.34086,4.78024,4.15149,0.000189904,0.000189904,0.000189904
45,230.02,3.51778,4.23498,4.17748,0.00144,0.23724,0.00179,0.00039,3.33481,4.78335,4.15066,0.00019097,0.00019097,0.00019097
46,235.083,3.63273,4.11472,4.17203,0.00144,0.23724,0.00179,0.00039,3.33481,4.78335,4.15066,0.000191885,0.000191885,0.000191885
47,240.047,3.56412,4.25388,4.16054,0.00141,0.23724,0.00333,0.00082,3.33357,4.78183,4.14978,0.000192647,0.000192647,0.000192647
48,245.164,3.73519,4.25562,4.13634,0.00141,0.23724,0.00333,0.00082,3.33357,4.78183,4.14978,0.000193257,0.000193257,0.000193257
49,250.078,3.40184,4.16125,4.14601,0.0014,0.23724,0.0098,0.00246,3.33569,4.78112,4.14929,0.000193714,0.000193714,0.000193714
50,255.215,3.28535,4.03342,4.16506,0.0014,0.23724,0.0098,0.00246,3.33569,4.78112,4.14929,0.000194019,0.000194019,0.000194019
51,260.317,3.39878,4.00584,4.18221,0.00133,0.23724,0.00979,0.00244,3.3336,4.78358,4.14882,0.000194173,0.000194173,0.000194173
52,265.338,3.28626,4.02333,4.13549,0.00133,0.23724,0.00979,0.00244,3.3336,4.78358,4.14882,0.000194173,0.000194173,0.000194173
53,270.231,3.5092,4.17574,4.09188,0.00133,0.23724,0.00979,0.00244,3.3336,4.78358,4.14882,0.000194022,0.000194022,0.000194022
54,275.462,3.45226,4.13604,4.0981,0.00131,0.23724,0.00343,0.00082,3.33214,4.78785,4.14848,0.000193718,0.000193718,0.000193718
55,280.438,3.62681,3.97593,4.11902,0.00131,0.23724,0.00343,0.00082,3.33214,4.78785,4.14848,0.000193262,0.000193262,0.000193262
56,285.581,3.74514,4.17787,4.17831,0.00131,0.23724,0.00343,0.00082,3.33214,4.78785,4.14848,0.000192654,0.000192654,0.000192654
57,290.569,3.41695,3.95715,4.13609,0.00134,0.23724,0.00191,0.00043,3.32958,4.79526,4.1484,0.000191893,0.000191893,0.000191893
58,295.619,3.4797,4.04599,4.14957,0.00134,0.23724,0.00191,0.00043,3.32958,4.79526,4.1484,0.00019098,0.00019098,0.00019098
59,301.023,3.65208,4.01666,4.16966,0.00134,0.23724,0.00191,0.00043,3.32958,4.79526,4.1484,0.000189915,0.000189915,0.000189915
60,306.241,3.45538,3.95994,4.136,0.00131,0.23724,0.00182,0.0004,3.32732,4.80514,4.14855,0.000188698,0.000188698,0.000188698
61,311.179,3.33825,3.979,4.17705,0.00131,0.23724,0.00182,0.0004,3.32732,4.80514,4.14855,0.000187328,0.000187328,0.000187328
62,316.128,3.51787,3.82872,4.06857,0.00131,0.23724,0.00182,0.0004,3.32732,4.80514,4.14855,0.000185807,0.000185807,0.000185807
63,321.189,3.5025,4.06958,4.09972,0.00133,0.23724,0.00191,0.00041,3.32225,4.81354,4.14856,0.000184132,0.000184132,0.000184132
64,326.112,3.20754,3.92614,4.07059,0.00133,0.23724,0.00191,0.00041,3.32225,4.81354,4.14856,0.000182306,0.000182306,0.000182306
65,331.181,3.3972,3.87322,4.04693,0.00133,0.23724,0.00191,0.00041,3.32225,4.81354,4.14856,0.000180327,0.000180327,0.000180327
66,336.232,3.33793,3.9301,4.07802,0.00135,0.23724,0.00187,0.00039,3.31843,4.82239,4.1488,0.000178197,0.000178197,0.000178197
67,341.194,3.35946,3.91523,4.0434,0.00135,0.23724,0.00187,0.00039,3.31843,4.82239,4.1488,0.000175913,0.000175913,0.000175913
68,346.449,3.44583,3.87129,4.10336,0.00135,0.23724,0.00187,0.00039,3.31843,4.82239,4.1488,0.000173478,0.000173478,0.000173478
69,351.605,3.44401,3.92286,4.07523,0.00134,0.23724,0.00202,0.00043,3.31436,4.83063,4.14961,0.00017089,0.00017089,0.00017089
70,356.533,3.30566,3.76016,4.0242,0.00134,0.23724,0.00202,0.00043,3.31436,4.83063,4.14961,0.00016815,0.00016815,0.00016815
71,361.618,3.31175,3.81757,4.10174,0.00134,0.23724,0.00202,0.00043,3.31436,4.83063,4.14961,0.000165258,0.000165258,0.000165258
72,366.634,3.4589,3.98602,4.09058,0.00129,0.23724,0.00377,0.00085,3.31426,4.82763,4.14996,0.000162214,0.000162214,0.000162214
73,371.802,3.48403,3.98912,4.06466,0.00129,0.23724,0.00377,0.00085,3.31426,4.82763,4.14996,0.000159017,0.000159017,0.000159017
74,376.791,2.9694,3.91103,4.06398,0.00129,0.23724,0.00377,0.00085,3.31426,4.82763,4.14996,0.000155668,0.000155668,0.000155668
75,381.837,3.52436,3.86504,4.08483,0.00128,0.23724,0.00501,0.00119,3.31756,4.82455,4.152,0.000152167,0.000152167,0.000152167
76,386.869,3.40646,3.6424,4.02359,0.00128,0.23724,0.00501,0.00119,3.31756,4.82455,4.152,0.000148513,0.000148513,0.000148513
77,391.975,3.22288,3.77506,4.06299,0.00128,0.23724,0.00501,0.00119,3.31756,4.82455,4.152,0.000144707,0.000144707,0.000144707
78,397.053,3.42006,3.8662,4.03267,0.00125,0.23724,0.006,0.0015,3.31788,4.82661,4.1536,0.000140749,0.000140749,0.000140749
79,402.226,3.24392,3.72012,3.96261,0.00125,0.23724,0.006,0.0015,3.31788,4.82661,4.1536,0.000136639,0.000136639,0.000136639
80,407.135,3.08608,3.63968,4.01274,0.00125,0.23724,0.006,0.0015,3.31788,4.82661,4.1536,0.000132376,0.000132376,0.000132376
